[run number],detection_sick_people,security_measures,deterrents,proportion_retired,people,_network_type,_nodes,proportion_paranoid,proportion_worker,infectious_rate,duration,discovery_type,lockdown_type,proportion_student,stability-factor,proportion_skeptic,[step],n_of_death,days,count turtles with [spreader? = true],count turtles with [color = gray],count turtles with [notp? = true],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
145,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,881,10,45,66,434,141,13125.5,444
146,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,701,8,36,61,446,127,11835,454
147,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,821,13,42,51,436,102,13529,449
149,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,901,4,46,67,444,144,14407.5,448
148,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,921,4,47,74,435,141,13948.5,439
150,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,981,11,50,37,420,76,15789.5,431
155,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1081,5,55,121,374,218,18990.5,379
152,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1461,0,74,43,200,80,27540,200
153,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1421,4,72,52,266,101,27487,270
154,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1441,4,73,50,172,93,27474,176
157,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1041,8,53,75,318,127,20178.5,326
156,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1421,9,72,62,282,104,27800.5,291
151,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1641,7,83,82,371,162,30246.5,378
158,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1121,7,57,46,248,86,21780,255
160,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1161,12,59,94,345,174,22524,357
161,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1061,8,54,97,401,177,19384,409
159,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1501,9,76,46,264,91,28185,273
164,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1081,8,55,74,341,133,21387.5,349
163,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1321,1,67,37,281,91,25098.5,282
166,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1141,6,58,54,312,99,21411,318
167,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1141,7,58,57,323,115,20969,330
165,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1321,6,67,70,336,141,26252.5,342
162,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1861,8,94,47,289,99,36234.5,297
170,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,961,7,49,78,299,163,18967,306
174,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,961,11,49,135,410,287,18919,421
172,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1461,5,74,50,253,106,28672,258
175,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,981,9,50,81,348,158,19751.5,357
171,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1461,4,74,63,268,116,29099.5,272
179,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,821,0,42,35,40,78,16200,40
173,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1321,6,67,66,325,135,25413.5,331
169,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1961,4,99,36,167,78,37590.5,171
177,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1121,3,57,49,235,91,21453.5,238
178,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1141,3,58,80,325,145,22655.5,328
176,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1861,6,94,37,168,83,36708.5,174
168,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,2981,8,150,41,302,81,59160.5,310
180,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1261,7,64,42,242,80,24228,249
