"[run number]","deterrents","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"127","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1801","5","91","12","488","89","6075","493"
"129","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1301","12","66","9","474","104","4387.5","486"
"132","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1201","8","61","8","472","103","4050","480"
"126","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2321","9","117","17","483","108","7830","492"
"134","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1761","9","89","9","478","91","5940","487"
"136","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1761","14","89","7","469","112","5940","483"
"133","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2201","14","111","19","477","114","7425","491"
"128","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2901","12","146","16","484","119","9787.5","496"
"131","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2581","13","130","16","483","105","8707.5","496"
"130","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2881","14","145","10","482","121","9720","496"
"137","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1801","7","91","7","487","106","6075","494"
"135","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","3081","10","155","13","487","148","10395","497"
"141","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2001","12","101","7","479","85","6750","491"
"140","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2501","13","126","4","482","81","8437.5","495"
"139","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2561","11","129","12","481","103","8640","492"
"142","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2361","13","119","12","485","91","7965","498"
"143","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2301","11","116","9","483","110","7762.5","494"
"147","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","1741","11","88","17","477","113","5872.5","488"
"144","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2701","8","136","16","481","119","9112.5","489"
"145","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2401","7","121","6","488","102","8100","495"
"138","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","4401","3","221","21","488","234","14850","491"
"149","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2461","12","124","8","485","72","8302.5","497"
"148","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2681","14","135","9","484","72","9045","498"
"146","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","3861","12","194","16","484","165","13027.5","496"
"150","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","2661","10","134","8","487","86","8977.5","497"
"157","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","1161","13","59","10","474","106","0","487"
"151","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","2641","9","133","13","486","120","0","495"
