"[run number]","deterrents","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"234","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","961","1","49","10","31","108","16312","32"
"239","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","461","1","24","13","17","124","7789.25","18"
"224","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","1401","0","71","22","37","224","23976","37"
"244","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","321","1","17","8","7","118","5414.5","8"
"243","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","381","0","20","11","11","75","6431.25","11"
"242","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","461","1","24","8","12","78","7810.75","13"
"230","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","1481","1","75","17","49","123","25590.25","50"
"238","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","901","0","46","20","46","192","15550.5","46"
"241","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","681","0","35","7","29","68","11621.25","29"
"240","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","741","0","38","14","21","127","12580.5","21"
"249","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","0","21","13","15","129","6766.5","15"
"245","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","681","1","35","15","59","140","11658.75","60"
"247","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","541","1","28","10","27","102","9201.5","28"
"248","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","541","1","28","15","15","90","9120.25","16"
"256","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","401","0","21","16","10","153","2872","10"
"250","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","741","2","38","13","39","90","12635.75","41"
"255","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","441","1","23","37","13","295","3177","14"
"246","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","1141","2","58","18","64","116","19638","66"
"252","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1121","0","57","12","140","103","10649","140"
"264","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","461","0","24","10","14","123","3321","14"
"254","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1281","3","65","16","91","90","10962","94"
"253","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1181","5","60","15","229","110","12582.5","234"
"251","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1541","4","78","7","147","73","14624","151"
"262","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","841","2","43","7","86","100","7216","88"
"258","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1281","4","65","15","108","157","10988","112"
"259","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1301","2","66","10","193","139","13662","195"
"266","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","421","1","22","24","15","131","3081","16"
"269","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","441","0","23","37","11","254","3155","11"
"257","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1621","3","82","11","135","119","14959","138"
"261","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1241","9","63","9","197","80","12538.5","206"
"263","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1301","6","66","5","202","91","13450.5","208"
"260","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","1661","4","84","14","147","97","15732.5","151"
"277","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","321","0","17","21","8","212","2270","8"
