"[run number]","deterrents","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"157","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","7","19","57","493","120","4111.75","500"
"158","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","12","19","53","488","96","4103.5","500"
"159","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","341","8","18","56","492","115","3864","500"
"160","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","6","19","61","494","128","4031","500"
"161","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","10","19","60","490","123","4180.5","500"
"162","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","341","13","18","60","487","128","3739","500"
"163","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","6","19","42","494","75","4032","500"
"164","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","13","19","33","487","73","4127.5","500"
"165","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","341","12","18","121","488","240","3922.75","500"
"168","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","341","15","18","56","485","99","3785.75","500"
"167","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","10","19","54","490","118","3874.75","500"
"166","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","15","19","57","485","109","4126.5","500"
"169","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","13","19","73","487","142","4050.5","500"
"170","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","10","19","75","490","142","4032.5","500"
"171","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","341","14","18","41","486","74","3792.5","500"
"172","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","13","19","74","487","144","4079.25","500"
"173","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","8","19","46","492","103","3943","500"
"175","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","341","9","18","92","491","184","3794","500"
"174","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","10","19","89","490","178","4059.75","500"
"176","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","341","11","18","66","489","128","3867.75","500"
"177","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","341","14","18","37","486","86","3693.75","500"
"178","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","341","13","18","35","487","76","3845.5","500"
"180","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","341","12","18","94","488","175","3829.25","500"
"179","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","8","19","41","492","83","4246.25","500"
"181","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","13","19","39","487","90","4101","500"
"182","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","341","15","18","56","485","117","3877.5","500"
"183","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","341","11","18","32","489","73","3859.5","500"
"184","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","341","10","18","163","490","317","3855.75","500"
"185","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","13","19","62","487","106","3953.5","500"
"186","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","13","19","30","487","74","4080","500"
"187","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","341","5","18","42","495","80","3841","500"
"188","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","341","13","18","66","487","117","3836","500"
"189","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","10","19","61","490","129","4156.75","500"
"190","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","13","19","35","487","86","4088","500"
"191","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","6","19","54","494","104","4169.75","500"
"192","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","12","19","163","488","312","4148.25","500"
"194","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","13","19","59","487","125","3896.75","500"
"193","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","381","11","20","86","489","178","4447","500"
"195","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","12","19","44","488","76","4193.25","500"
"196","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","8","19","35","492","74","4266","500"
"198","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","341","14","18","62","486","108","3790.5","500"
"197","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","14","19","97","486","188","4164.25","500"
"199","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","12","19","50","488","104","4130.5","500"
"200","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","361","11","19","35","489","74","4105.25","500"
"201","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","13","21","49","487","117","7503.25","500"
"204","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","381","11","20","130","489","250","7148.25","500"
"202","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","12","21","51","488","122","7517.5","500"
"206","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","381","12","20","57","488","110","7150.5","500"
"203","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","421","13","22","50","487","95","7916.75","500"
"205","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","401","12","21","49","488","95","7510.25","500"
