[run number],detection_sick_people,security_measures,deterrents,proportion_retired,people,_network_type,_nodes,proportion_paranoid,proportion_worker,infectious_rate,duration,discovery_type,lockdown_type,proportion_student,stability-factor,proportion_skeptic,[step],n_of_death,days,count turtles with [spreader? = true],count turtles with [color = gray],count turtles with [notp? = true],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
151,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,2141,11,108,16,402,109,40633,413
155,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1581,10,80,17,413,134,31003,423
156,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,2201,11,111,17,403,138,42963.5,414
154,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,2361,10,119,10,378,116,46290.5,388
157,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,2581,8,130,10,404,88,49511,412
153,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,3321,8,167,8,314,76,66515.5,322
159,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,2621,7,132,11,392,75,52370.5,399
158,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,3101,10,156,9,347,124,61899.5,357
161,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,3061,12,154,12,377,90,59767,389
162,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,3101,9,156,6,387,87,61970,396
160,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,3361,8,169,12,385,92,67369,393
164,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,2181,12,110,14,366,103,43337,378
165,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,2121,14,107,22,407,115,41294,421
163,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,2681,9,135,15,374,128,53177.5,383
166,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,2061,12,104,12,349,117,40985.5,361
170,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1961,11,99,14,403,116,38232,414
167,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,2641,5,133,9,390,74,51678,395
171,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1881,7,95,7,424,108,36693.5,431
169,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,2301,9,116,17,378,130,44676.5,387
168,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,2521,5,127,9,398,83,49264,403
174,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1761,9,89,14,394,140,35074,403
175,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,2061,13,104,14,391,96,40946,404
177,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1581,11,80,21,465,240,30935,476
176,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,3061,9,154,8,352,88,61226,361
178,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,2781,8,140,9,379,114,55150,387
173,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,3621,9,182,9,311,69,72496.5,320
180,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,2461,17,124,11,421,106,47321.5,438
179,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,3061,12,154,9,402,78,60565,414
172,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,5681,5,285,12,385,108,112959.5,390
