"[run number]","proportion_retired","people","security_measures","detection_sick_people","proportion_worker","infectious_rate","duration","lockdown_type","proportion_student","[step]","n_of_death","days","count turtles with [color = gray]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"153","29","500","true","false","53","3","14","lockdown_retired","18","1041","10","52","475","3647","485"
"149","29","500","true","false","53","3","14","lockdown_retired","18","1401","8","70","482","4923","490"
"147","29","500","true","false","53","3","14","lockdown_retired","18","1741","14","87","482","5913.5","496"
"156","29","500","true","false","53","3","14","lockdown_retired","18","1041","10","52","477","3670.5","487"
"150","29","500","true","false","53","3","14","lockdown_retired","18","2021","12","101","485","6908.5","497"
"154","29","500","true","false","53","3","14","lockdown_retired","18","1441","12","72","480","4992.5","492"
"155","29","500","true","false","53","3","14","lockdown_retired","18","1701","10","85","485","5918","495"
"152","29","500","true","false","53","3","14","lockdown_retired","18","1961","9","98","486","6813","495"
"157","29","500","true","false","53","3","14","lockdown_retired","18","1581","11","79","480","5480","491"
"158","29","500","true","false","53","3","14","lockdown_retired","18","1201","14","60","475","4172","489"
"159","29","500","true","false","53","3","14","lockdown_retired","18","1421","10","71","483","4976.5","493"
"160","29","500","true","false","53","3","14","lockdown_retired","18","1541","7","77","488","5430","495"
"162","29","500","true","false","53","3","14","lockdown_retired","18","1581","13","79","480","5408.5","493"
"161","29","500","true","false","53","3","14","lockdown_retired","18","1781","5","89","491","6306","496"
"166","29","500","true","false","53","3","14","lockdown_retired","18","1401","14","70","478","4800","492"
"164","29","500","true","false","53","3","14","lockdown_retired","18","1621","10","81","485","5647.5","495"
"170","29","500","true","false","53","3","14","lockdown_retired","18","1001","15","50","482","3495.5","497"
"168","29","500","true","false","53","3","14","lockdown_retired","18","1341","7","67","480","4742.5","487"
"163","29","500","true","false","53","3","14","lockdown_retired","18","2241","11","112","488","7705.5","499"
"165","29","500","true","false","53","3","14","lockdown_retired","18","2121","11","106","486","7239.5","497"
"169","29","500","true","false","53","3","14","lockdown_retired","18","1441","14","72","482","4937","496"
"167","29","500","true","false","53","3","14","lockdown_retired","18","2001","8","100","486","6980","494"
"172","29","500","true","false","53","3","14","lockdown_retired","18","1141","7","57","485","4052","492"
"171","29","500","true","false","53","3","14","lockdown_retired","18","1381","13","69","480","4755.5","493"
"173","29","500","true","false","53","3","14","lockdown_retired","18","1401","13","70","480","4768","493"
"175","29","500","true","false","53","3","14","lockdown_retired","18","1641","12","82","482","5708","494"
"174","29","500","true","false","53","3","14","lockdown_retired","18","1761","15","88","482","5972","497"
"176","29","500","true","false","53","3","14","lockdown_retired","18","1601","14","80","479","5471","493"
"178","29","500","true","false","53","3","14","lockdown_retired","18","1381","17","69","474","4672","491"
"177","29","500","true","false","53","3","14","lockdown_retired","18","1781","8","89","489","6157.5","497"
"180","29","500","true","false","53","3","14","lockdown_retired","18","1461","10","73","484","5066.5","494"
"182","29","500","true","false","53","3","14","lockdown_retired","18","1581","13","79","485","5423","498"
"179","29","500","true","false","53","3","14","lockdown_retired","18","1741","8","87","489","6075","497"
"183","29","500","true","false","53","3","14","lockdown_retired","18","1781","11","89","475","6118.5","486"
"184","29","500","true","false","53","3","14","lockdown_retired","18","1621","10","81","483","5625.5","493"
"186","29","500","true","false","53","3","14","lockdown_retired","18","1161","12","58","472","4072","484"
"181","29","500","true","false","53","3","14","lockdown_retired","18","2881","10","144","484","9881.5","494"
"188","29","500","true","false","53","3","14","lockdown_retired","18","1201","11","60","480","4207.5","491"
"191","29","500","true","false","53","3","14","lockdown_retired","18","1041","12","52","479","3603","491"
"185","29","500","true","false","53","3","14","lockdown_retired","18","1941","9","97","488","6730.5","497"
"187","29","500","true","false","53","3","14","lockdown_retired","18","1761","6","88","486","6217","492"
"192","29","500","true","false","53","3","14","lockdown_retired","18","1401","15","70","478","4753","493"
"189","29","500","true","false","53","3","14","lockdown_retired","18","1681","14","84","479","5706.5","493"
"190","29","500","true","false","53","3","14","lockdown_retired","18","2061","9","103","487","7155","496"
"194","29","500","true","false","53","3","14","lockdown_retired","18","1001","14","50","480","3477.5","494"
"195","29","500","true","false","53","3","14","lockdown_retired","18","1081","9","54","481","3798","490"
"193","29","500","true","false","53","3","14","lockdown_retired","18","1901","11","95","484","6556","495"
"196","29","500","true","false","53","3","14","lockdown_retired","18","1401","12","70","483","4824","495"
"197","29","500","true","false","53","3","14","lockdown_retired","18","1101","7","55","481","3854","488"
"198","29","500","true","false","53","3","14","lockdown_retired","18","1401","8","70","483","4913","491"
"201","29","500","true","false","53","3","14","lockdown_student","18","1081","10","54","483","3645","493"
"200","29","500","true","false","53","3","14","lockdown_retired","18","1221","5","61","486","4350","491"
"202","29","500","true","false","53","3","14","lockdown_student","18","1741","12","87","483","5872.5","495"
"206","29","500","true","false","53","3","14","lockdown_student","18","861","11","43","481","2902.5","492"
"199","29","500","true","false","53","3","14","lockdown_retired","18","2221","12","111","482","7635","494"
"203","29","500","true","false","53","3","14","lockdown_student","18","1541","14","77","481","5197.5","495"
"204","29","500","true","false","53","3","14","lockdown_student","18","1861","14","93","484","6210","498"
"205","29","500","true","false","53","3","14","lockdown_student","18","1941","11","97","483","6547.5","494"
"208","29","500","true","false","53","3","14","lockdown_student","18","1261","15","63","474","4252.5","489"
"207","29","500","true","false","53","3","14","lockdown_student","18","1761","12","88","481","5940","493"
"209","29","500","true","false","53","3","14","lockdown_student","18","1361","12","68","478","4590","490"
"211","29","500","true","false","53","3","14","lockdown_student","18","921","12","46","474","3105","486"
"210","29","500","true","false","53","3","14","lockdown_student","18","1801","13","90","483","6075","496"
"214","29","500","true","false","53","3","14","lockdown_student","18","1241","12","62","476","4185","488"
"212","29","500","true","false","53","3","14","lockdown_student","18","1801","14","90","480","6075","494"
"215","29","500","true","false","53","3","14","lockdown_student","18","1441","7","72","479","4860","486"
"213","29","500","true","false","53","3","14","lockdown_student","18","1761","9","88","485","5940","494"
"216","29","500","true","false","53","3","14","lockdown_student","18","1261","5","63","487","4252.5","492"
"217","29","500","true","false","53","3","14","lockdown_student","18","1381","11","69","480","4657.5","491"
"219","29","500","true","false","53","3","14","lockdown_student","18","1261","10","63","481","4252.5","491"
"218","29","500","true","false","53","3","14","lockdown_student","18","1741","11","87","476","5872.5","487"
"220","29","500","true","false","53","3","14","lockdown_student","18","941","9","47","485","3172.5","494"
"222","29","500","true","false","53","3","14","lockdown_student","18","1321","8","66","483","4455","491"
"223","29","500","true","false","53","3","14","lockdown_student","18","1401","7","70","486","4725","493"
"221","29","500","true","false","53","3","14","lockdown_student","18","1861","12","93","485","6277.5","497"
"225","29","500","true","false","53","3","14","lockdown_student","18","1001","11","50","477","3375","488"
