"[run number]","proportion_retired","people","security_measures","detection_sick_people","proportion_worker","infectious_rate","duration","lockdown_type","proportion_student","[step]","n_of_death","days","count turtles with [color = gray]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"540","29","500","false","false","53","3","14","lockdown_retired+student","18","361","9","18","491","2511.5","500"
"541","29","500","false","false","53","3","14","lockdown_retired+student","18","361","9","18","491","2512","500"
"542","29","500","false","false","53","3","14","lockdown_retired+student","18","381","10","19","490","2646","500"
"543","29","500","false","false","53","3","14","lockdown_retired+student","18","381","12","19","488","2642","500"
"544","29","500","false","false","53","3","14","lockdown_retired+student","18","361","13","18","487","2509","500"
"545","29","500","false","false","53","3","14","lockdown_retired+student","18","381","10","19","490","2648","500"
"546","29","500","false","false","53","3","14","lockdown_retired+student","18","361","10","18","490","2510","500"
"548","29","500","false","false","53","3","14","lockdown_retired+student","18","361","16","18","484","2505","500"
"547","29","500","false","false","53","3","14","lockdown_retired+student","18","381","6","19","494","2651","500"
"552","29","500","false","false","53","3","14","lockdown_retired+student","18","361","11","18","489","2510.5","500"
"549","29","500","false","false","53","3","14","lockdown_retired+student","18","381","9","19","491","2513","500"
"550","29","500","false","false","53","3","14","lockdown_retired+student","18","381","12","19","488","2643.5","500"
"551","29","500","false","false","53","3","14","lockdown_retired+student","18","381","11","19","489","2645.5","500"
"553","29","500","false","false","53","3","14","lockdown_retired+student","18","381","9","19","491","2647.5","500"
"554","29","500","false","false","53","3","14","lockdown_retired+student","18","401","11","20","489","2780.5","500"
"556","29","500","false","false","53","3","14","lockdown_retired+student","18","361","16","18","484","2509","500"
"555","29","500","false","false","53","3","14","lockdown_retired+student","18","361","13","18","487","2508","500"
"557","29","500","false","false","53","3","14","lockdown_retired+student","18","381","13","19","487","2640.5","500"
"558","29","500","false","false","53","3","14","lockdown_retired+student","18","361","10","18","490","2510","500"
"559","29","500","false","false","53","3","14","lockdown_retired+student","18","361","13","18","487","2506.5","500"
"561","29","500","false","false","53","3","14","lockdown_retired+student","18","361","18","18","482","2505","500"
"562","29","500","false","false","53","3","14","lockdown_retired+student","18","361","10","18","490","2509.5","500"
"560","29","500","false","false","53","3","14","lockdown_retired+student","18","361","15","18","485","2507.5","500"
"565","29","500","false","false","53","3","14","lockdown_retired+student","18","361","8","18","492","2513","500"
"564","29","500","false","false","53","3","14","lockdown_retired+student","18","361","12","18","488","2507.5","500"
"563","29","500","false","false","53","3","14","lockdown_retired+student","18","401","7","20","493","2785.5","500"
"566","29","500","false","false","53","3","14","lockdown_retired+student","18","361","15","18","485","2501.5","500"
"567","29","500","false","false","53","3","14","lockdown_retired+student","18","381","10","19","490","2646.5","500"
"568","29","500","false","false","53","3","14","lockdown_retired+student","18","361","15","18","485","2508.5","500"
"569","29","500","false","false","53","3","14","lockdown_retired+student","18","361","15","18","485","2503","500"
"570","29","500","false","false","53","3","14","lockdown_retired+student","18","361","9","18","491","2513","500"
"571","29","500","false","false","53","3","14","lockdown_retired+student","18","361","13","18","487","2505.5","500"
"572","29","500","false","false","53","3","14","lockdown_retired+student","18","361","7","18","493","2515","500"
"573","29","500","false","false","53","3","14","lockdown_retired+student","18","381","12","19","488","2646.5","500"
"575","29","500","false","false","53","3","14","lockdown_retired+student","18","361","9","18","491","2512.5","500"
"574","29","500","false","false","53","3","14","lockdown_retired+student","18","401","16","20","484","2774","500"
"578","29","500","false","false","53","3","14","lockdown_retired+student","18","361","10","18","490","2511","500"
"577","29","500","false","false","53","3","14","lockdown_retired+student","18","361","11","18","489","2508.5","500"
"576","29","500","false","false","53","3","14","lockdown_retired+student","18","381","12","19","488","2643","500"
"579","29","500","false","false","53","3","14","lockdown_retired+student","18","361","7","18","493","2513.5","500"
"582","29","500","false","false","53","3","14","lockdown_retired+student","18","381","12","19","488","2647.5","500"
"581","29","500","false","false","53","3","14","lockdown_retired+student","18","361","13","18","487","2507.5","500"
"580","29","500","false","false","53","3","14","lockdown_retired+student","18","381","12","19","488","2644.5","500"
"583","29","500","false","false","53","3","14","lockdown_retired+student","18","361","14","18","486","2505","500"
