[run number],detection_sick_people,security_measures,proportion_retired,people,proportion_worker,infectious_rate,duration,lockdown_type,proportion_student,[step],n_of_death,days,count turtles with [color = gray],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
133,true,true,29,500,53,2,14,essential_activities,18,1221,1,61,58,16005.5,59
126,true,true,29,500,53,2,14,essential_activities,18,1981,1,99,89,27760.5,90
132,true,true,29,500,53,2,14,essential_activities,18,1341,2,67,168,19903.5,170
134,true,true,29,500,53,2,14,essential_activities,18,1161,2,58,148,17041,150
131,true,true,29,500,53,2,14,essential_activities,18,1461,7,73,122,20158.5,129
135,true,true,29,500,53,2,14,essential_activities,18,1241,5,62,139,18252,144
140,true,true,29,500,53,2,14,essential_activities,18,1001,4,50,120,14399.5,124
143,true,true,29,500,53,2,14,essential_activities,18,821,0,41,24,9446,24
118,true,true,29,500,53,2,14,lockdown_retired+student,18,3401,3,170,246,35320.5,249
147,true,true,29,500,53,2,14,essential_activities,18,541,0,27,18,6590,18
142,true,true,29,500,53,2,14,essential_activities,18,1001,4,50,70,13384.5,74
141,true,true,29,500,53,2,14,essential_activities,18,1141,2,57,183,16680,185
152,true,true,29,500,53,2,14,all,18,381,0,19,10,7290,10
137,true,true,29,500,53,2,14,essential_activities,18,1641,3,82,117,21928,120
149,true,true,29,500,53,2,14,essential_activities,18,721,3,36,51,10107,54
153,true,true,29,500,53,2,14,all,18,401,1,20,13,7694,14
155,true,true,29,500,53,2,14,all,18,341,0,17,6,5670,6
150,true,true,29,500,53,2,14,essential_activities,18,601,2,30,13,6300,15
154,true,true,29,500,53,2,14,all,18,481,1,24,8,9720,9
144,true,true,29,500,53,2,14,essential_activities,18,1281,3,64,119,18738.5,122
151,true,true,29,500,53,2,14,all,18,881,0,44,12,15795,12
156,true,true,29,500,53,2,14,all,18,541,0,27,8,6480,8
159,true,true,29,500,53,2,14,all,18,381,0,19,8,6480,8
157,true,true,29,500,53,2,14,all,18,521,2,26,10,9307.5,12
163,true,true,29,500,53,2,14,all,18,361,0,18,7,6480,7
158,true,true,29,500,53,2,14,all,18,561,0,28,10,9720,10
162,true,true,29,500,53,2,14,all,18,521,1,26,11,9714.5,12
148,true,true,29,500,53,2,14,essential_activities,18,1341,2,67,177,20093.5,179
164,true,true,29,500,53,2,14,all,18,421,1,21,8,6478.5,9
165,true,true,29,500,53,2,14,all,18,461,0,23,13,8910,13
167,true,true,29,500,53,2,14,all,18,421,0,21,7,6885,7
166,true,true,29,500,53,2,14,all,18,501,0,25,13,8910,13
171,true,true,29,500,53,2,14,all,18,361,0,18,8,6885,8
160,true,true,29,500,53,2,14,all,18,1061,2,53,16,19407,18
170,true,true,29,500,53,2,14,all,18,501,0,25,14,8910,14
172,true,true,29,500,53,2,14,all,18,481,0,24,11,7695,11
169,true,true,29,500,53,2,14,all,18,521,0,26,10,9315,10
145,true,true,29,500,53,2,14,essential_activities,18,2441,6,122,158,35030,164
161,true,true,29,500,53,2,14,all,18,1141,1,57,21,21049.5,22
