"[run number]","proportion_retired","people","security_measures","detection_sick_people","proportion_worker","infectious_rate","duration","lockdown_type","proportion_student","[step]","n_of_death","days","count turtles with [color = gray]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"109","29","500","true","true","53","3","14","lockdown_retired","18","821","7","41","299","7828.25","306"
"108","29","500","true","true","53","3","14","lockdown_retired","18","961","7","48","281","8690","288"
"102","29","500","true","true","53","3","14","lockdown_retired","18","1561","11","78","302","16722.75","313"
"107","29","500","true","true","53","3","14","lockdown_retired","18","961","4","48","329","9654.25","333"
"110","29","500","true","true","53","3","14","lockdown_retired","18","1141","5","57","251","9529.75","256"
"112","29","500","true","true","53","3","14","lockdown_retired","18","901","10","45","284","8209.5","294"
"111","29","500","true","true","53","3","14","lockdown_retired","18","1121","6","56","266","10190.5","272"
"117","29","500","true","true","53","3","14","lockdown_retired","18","1061","6","53","251","8574.75","257"
"114","29","500","true","true","53","3","14","lockdown_retired","18","1201","3","60","243","10698","246"
"118","29","500","true","true","53","3","14","lockdown_retired","18","1121","9","56","283","10317.75","292"
"116","29","500","true","true","53","3","14","lockdown_retired","18","1221","4","61","253","9978.75","257"
"113","29","500","true","true","53","3","14","lockdown_retired","18","1161","7","58","330","11772.5","337"
"120","29","500","true","true","53","3","14","lockdown_retired","18","1381","5","69","232","11594.5","237"
"115","29","500","true","true","53","3","14","lockdown_retired","18","1841","6","92","284","19020.25","290"
"122","29","500","true","true","53","3","14","lockdown_retired","18","1501","3","75","208","12109.5","211"
"121","29","500","true","true","53","3","14","lockdown_retired","18","1261","10","63","289","12255","299"
"123","29","500","true","true","53","3","14","lockdown_retired","18","1341","11","67","335","14004.75","346"
"127","29","500","true","true","53","3","14","lockdown_retired","18","901","7","45","309","8965.75","316"
"124","29","500","true","true","53","3","14","lockdown_retired","18","1321","4","66","232","10614.25","236"
"125","29","500","true","true","53","3","14","lockdown_retired","18","1141","7","57","292","9780.5","299"
"129","29","500","true","true","53","3","14","lockdown_retired","18","961","6","48","309","9375.5","315"
"119","29","500","true","true","53","3","14","lockdown_retired","18","2501","9","125","318","29938.5","327"
"128","29","500","true","true","53","3","14","lockdown_retired","18","1221","7","61","296","11536.5","303"
"126","29","500","true","true","53","3","14","lockdown_retired","18","1441","14","72","366","16864.25","380"
"130","29","500","true","true","53","3","14","lockdown_retired","18","1181","4","59","318","11648.25","322"
"132","29","500","true","true","53","3","14","lockdown_retired","18","1001","10","50","304","9460.25","314"
"131","29","500","true","true","53","3","14","lockdown_retired","18","1261","5","63","286","11136","291"
"134","29","500","true","true","53","3","14","lockdown_retired","18","1041","7","52","276","9236","283"
"136","29","500","true","true","53","3","14","lockdown_retired","18","861","7","43","371","9746.25","378"
"138","29","500","true","true","53","3","14","lockdown_retired","18","1021","10","51","300","9966.75","310"
"137","29","500","true","true","53","3","14","lockdown_retired","18","1301","6","65","296","13184","302"
"139","29","500","true","true","53","3","14","lockdown_retired","18","1141","6","57","272","10402.25","278"
"140","29","500","true","true","53","3","14","lockdown_retired","18","941","11","47","286","8635.75","297"
"135","29","500","true","true","53","3","14","lockdown_retired","18","1361","5","68","324","14622.25","329"
"141","29","500","true","true","53","3","14","lockdown_retired","18","1041","7","52","322","10162","329"
"143","29","500","true","true","53","3","14","lockdown_retired","18","1121","3","56","298","10719.5","301"
"144","29","500","true","true","53","3","14","lockdown_retired","18","1101","6","55","302","10034.75","308"
"133","29","500","true","true","53","3","14","lockdown_retired","18","2261","6","113","298","26350.75","304"
"142","29","500","true","true","53","3","14","lockdown_retired","18","1661","5","83","298","16629.25","303"
"145","29","500","true","true","53","3","14","lockdown_retired","18","1341","8","67","285","12240.75","293"
"147","29","500","true","true","53","3","14","lockdown_retired","18","1041","10","52","324","10150.25","334"
"150","29","500","true","true","53","3","14","lockdown_retired","18","1021","3","51","316","10159","319"
"152","29","500","true","true","53","3","14","lockdown_retired","18","1021","8","51","293","9886","301"
"148","29","500","true","true","53","3","14","lockdown_retired","18","1401","8","70","259","12543","267"
"151","29","500","true","true","53","3","14","lockdown_retired","18","1301","7","65","330","13312.25","337"
"146","29","500","true","true","53","3","14","lockdown_retired","18","1801","8","90","317","15914.25","325"
"154","29","500","true","true","53","3","14","lockdown_retired","18","1081","9","54","336","10749.25","345"
"157","29","500","true","true","53","3","14","lockdown_retired","18","1141","6","57","324","11442.5","330"
"149","29","500","true","true","53","3","14","lockdown_retired","18","2081","5","104","320","20983.25","325"
"156","29","500","true","true","53","3","14","lockdown_retired","18","1221","12","61","312","11362.25","324"
"155","29","500","true","true","53","3","14","lockdown_retired","18","1181","6","59","303","11855.5","309"
"159","29","500","true","true","53","3","14","lockdown_retired","18","981","9","49","307","9118.5","316"
"161","29","500","true","true","53","3","14","lockdown_retired","18","961","8","48","336","9563.75","344"
"158","29","500","true","true","53","3","14","lockdown_retired","18","1641","4","82","115","9742.5","119"
"153","29","500","true","true","53","3","14","lockdown_retired","18","2081","10","104","304","19527.75","314"
"162","29","500","true","true","53","3","14","lockdown_retired","18","1061","2","53","333","10327.75","335"
"163","29","500","true","true","53","3","14","lockdown_retired","18","1161","8","58","301","11069.25","309"
"166","29","500","true","true","53","3","14","lockdown_retired","18","921","10","46","338","9934.75","348"
