[run number],detection_sick_people,security_measures,proportion_retired,people,proportion_worker,infectious_rate,duration,lockdown_type,proportion_student,[step],n_of_death,days,count turtles with [color = gray],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
151,true,false,29,500,53,2,14,all,18,561,0,28,22,10125,22
147,true,false,29,500,53,2,14,essential_activities,18,761,8,38,432,12167,440
144,true,false,29,500,53,2,14,essential_activities,18,901,6,45,420,13662.5,426
152,true,false,29,500,53,2,14,all,18,501,0,25,11,8505,11
145,true,false,29,500,53,2,14,essential_activities,18,901,10,45,400,14146.5,410
143,true,false,29,500,53,2,14,essential_activities,18,961,3,48,424,14593.5,427
154,true,false,29,500,53,2,14,all,18,501,0,25,15,9315,15
146,true,false,29,500,53,2,14,essential_activities,18,921,9,46,410,14301.5,419
153,true,false,29,500,53,2,14,all,18,501,1,25,19,8097.5,20
148,true,false,29,500,53,2,14,essential_activities,18,901,10,45,431,14445.5,441
150,true,false,29,500,53,2,14,essential_activities,18,801,11,40,411,13398,422
149,true,false,29,500,53,2,14,essential_activities,18,901,7,45,411,12571,418
158,true,false,29,500,53,2,14,all,18,421,0,21,14,7290,14
156,true,false,29,500,53,2,14,all,18,481,0,24,24,8910,24
155,true,false,29,500,53,2,14,all,18,621,0,31,19,12555,19
160,true,false,29,500,53,2,14,all,18,461,0,23,13,8910,13
159,true,false,29,500,53,2,14,all,18,581,0,29,19,10935,19
161,true,false,29,500,53,2,14,all,18,541,0,27,11,8910,11
165,true,false,29,500,53,2,14,all,18,381,0,19,10,7695,10
168,true,false,29,500,53,2,14,all,18,441,0,22,13,7695,13
167,true,false,29,500,53,2,14,all,18,481,0,24,14,8100,14
164,true,false,29,500,53,2,14,all,18,701,0,35,31,12960,31
163,true,false,29,500,53,2,14,all,18,701,0,35,25,12150,25
170,true,false,29,500,53,2,14,all,18,441,0,22,17,8505,17
171,true,false,29,500,53,2,14,all,18,381,0,19,8,7695,8
169,true,false,29,500,53,2,14,all,18,601,1,30,27,10931,28
173,true,false,29,500,53,2,14,all,18,361,0,18,11,6480,11
162,true,false,29,500,53,2,14,all,18,861,0,43,48,16605,48
157,true,false,29,500,53,2,14,all,18,1221,0,61,40,23085,40
172,true,false,29,500,53,2,14,all,18,501,1,25,16,9310.5,17
175,true,false,29,500,53,2,14,all,18,521,2,26,24,9308,26
166,true,false,29,500,53,2,14,all,18,1121,1,56,30,21446,31
176,true,false,29,500,53,2,14,all,18,541,0,27,15,9315,15
177,true,false,29,500,53,2,14,all,18,521,0,26,13,9720,13
179,true,false,29,500,53,2,14,all,18,561,2,28,21,10924.5,23
178,true,false,29,500,53,2,14,all,18,561,0,28,17,10125,17
180,true,false,29,500,53,2,14,all,18,781,0,39,40,12960,40
174,true,false,29,500,53,2,14,all,18,1081,0,54,30,21870,30
