[run number],detection_sick_people,security_measures,proportion_retired,people,proportion_worker,infectious_rate,duration,lockdown_type,proportion_student,[step],n_of_death,days,count turtles with [color = gray],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
3,false,false,29,500,53,2,14,lockdown_retired,18,661,18,33,482,2174.5,500
9,false,false,29,500,53,2,14,lockdown_retired,18,641,12,32,488,2184,500
7,false,false,29,500,53,2,14,lockdown_retired,18,681,12,34,488,2321.5,500
10,false,false,29,500,53,2,14,lockdown_retired,18,681,13,34,487,2191,500
12,false,false,29,500,53,2,14,lockdown_retired,18,741,8,37,492,2424,500
6,false,false,29,500,53,2,14,lockdown_retired,18,701,12,35,488,2261,500
5,false,false,29,500,53,2,14,lockdown_retired,18,761,8,38,492,2415.5,500
8,false,false,29,500,53,2,14,lockdown_retired,18,701,9,35,491,2275,500
2,false,false,29,500,53,2,14,lockdown_retired,18,661,5,33,495,2221.5,500
4,false,false,29,500,53,2,14,lockdown_retired,18,701,16,35,484,2305.5,500
1,false,false,29,500,53,2,14,lockdown_retired,18,661,12,33,488,2262.5,500
11,false,false,29,500,53,2,14,lockdown_retired,18,941,10,47,490,2736.5,500
14,false,false,29,500,53,2,14,lockdown_retired,18,641,19,32,480,2167,499
19,false,false,29,500,53,2,14,lockdown_retired,18,641,8,32,492,2277.5,500
15,false,false,29,500,53,2,14,lockdown_retired,18,721,12,36,488,2395.5,500
18,false,false,29,500,53,2,14,lockdown_retired,18,641,12,32,488,2129,500
13,false,false,29,500,53,2,14,lockdown_retired,18,741,14,37,486,2443,500
22,false,false,29,500,53,2,14,lockdown_retired,18,681,9,34,491,2277,500
21,false,false,29,500,53,2,14,lockdown_retired,18,641,9,32,490,2208.5,499
17,false,false,29,500,53,2,14,lockdown_retired,18,801,11,40,489,2678.5,500
20,false,false,29,500,53,2,14,lockdown_retired,18,841,10,42,490,2821,500
16,false,false,29,500,53,2,14,lockdown_retired,18,941,13,47,487,2910.5,500
24,false,false,29,500,53,2,14,lockdown_retired,18,721,10,36,490,2338.5,500
23,false,false,29,500,53,2,14,lockdown_retired,18,801,14,40,486,2588.5,500
27,false,false,29,500,53,2,14,lockdown_retired,18,641,17,32,483,2167,500
25,false,false,29,500,53,2,14,lockdown_retired,18,801,8,40,492,2624.5,500
30,false,false,29,500,53,2,14,lockdown_retired,18,641,7,32,492,2212.5,499
29,false,false,29,500,53,2,14,lockdown_retired,18,741,9,37,491,2486,500
